state,district,market_id,market_name,commodity,date,day_of_week,month,day_of_year,arrivals_tonnes,mandi_capacity_mt,modal_price_rs_qtl,min_price_rs_qtl,max_price_rs_qtl,msp_rs_qtl,msp_spread_rs_qtl,rainfall_48h_mm,rain_alert,satellite_ndvi_index,source,lag_arrival_t1,lag_arrival_t7,rolling_mean_7d
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-01,6,1,1,1.2,950,2121,1973,2227,2183,-62,0.0,0,0.435,Agmarknet-DMI / IMD-Grid / Sentinel-2,79.6,79.6,1.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-02,0,1,2,85.2,950,2092,1946,2197,2183,-91,0.0,0,0.461,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,79.6,43.2
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-03,1,1,3,84.9,950,2025,1883,2126,2183,-158,0.0,0,0.422,Agmarknet-DMI / IMD-Grid / Sentinel-2,85.2,79.6,57.1
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-04,2,1,4,76.9,950,2037,1894,2139,2183,-146,0.0,0,0.412,Agmarknet-DMI / IMD-Grid / Sentinel-2,84.9,79.6,62.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-05,3,1,5,56.9,950,2060,1916,2163,2183,-123,58.2,1,0.322,Agmarknet-DMI / IMD-Grid / Sentinel-2,76.9,79.6,61.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-06,4,1,6,47.2,950,2122,1973,2228,2183,-61,70.7,1,0.476,Agmarknet-DMI / IMD-Grid / Sentinel-2,56.9,79.6,58.7
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-07,5,1,7,51.2,950,2036,1893,2138,2183,-147,0.0,0,0.418,Agmarknet-DMI / IMD-Grid / Sentinel-2,47.2,79.6,57.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-08,6,1,8,1.2,950,2026,1884,2127,2183,-157,0.0,0,0.497,Agmarknet-DMI / IMD-Grid / Sentinel-2,51.2,1.2,57.6
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-09,0,1,9,95.0,950,2049,1906,2151,2183,-134,0.0,0,0.312,Agmarknet-DMI / IMD-Grid / Sentinel-2,1.2,85.2,59.0
Madhya Pradesh,Sehore,1,Sehore Main Hub APMC,Paddy,2023-01-10,1,1,10,80.7,950,2086,1940,2190,2183,-97,0.0,0,0.419,Agmarknet-DMI / IMD-Grid / Sentinel-2,95.0,84.9,58.4
